,Unnamed: 0,section-id,file-id,url,heading,Codes with >= 2 votes,abstracted_heading
25,25,26,3,https://github.com/sethm/symon,### 3.1.3 Simple Memory Map,1,### @abstr_number . @abstr_number . @abstr_number Simple Memory Map
26,26,27,3,https://github.com/sethm/symon,### 3.2 Serial Console and CPU Status,1,### @abstr_number . @abstr_number Serial Console and CPU Status
27,27,28,3,https://github.com/sethm/symon,### 3.3 ROM Loading,1,### @abstr_number . @abstr_number ROM Loading
28,28,29,3,https://github.com/sethm/symon,### 3.4 Memory Window,1,### @abstr_number . @abstr_number Memory Window
29,29,30,3,https://github.com/sethm/symon,### 3.5 Trace Log,1,### @abstr_number . @abstr_number Trace Log
30,30,31,3,https://github.com/sethm/symon,### 3.6 Simulator Speeds,1,### @abstr_number . @abstr_number Simulator Speeds
31,31,32,3,https://github.com/sethm/symon,### 3.7 Breakpoints,1,### @abstr_number . @abstr_number Breakpoints
32,32,33,3,https://github.com/sethm/symon,### 3.8 Experimental 6545 CRTC Video,16,### @abstr_number . @abstr_number Experimental @abstr_number CRTC Video
33,33,34,3,https://github.com/sethm/symon,#### 3.8.1 Example BASIC Program to test Video,1,#### @abstr_number . @abstr_number . @abstr_number Example BASIC Program to test Video
34,34,35,3,https://github.com/sethm/symon,## 4.0 Usage,3,## @abstr_number . @abstr_number Usage
35,35,36,3,https://github.com/sethm/symon,### 4.1 Building,3,### @abstr_number . @abstr_number Building
36,36,37,3,https://github.com/sethm/symon,### 4.2 ROM images,3,### @abstr_number . @abstr_number ROM images
37,37,38,3,https://github.com/sethm/symon,### 4.3 Loading A Program,3,### @abstr_number . @abstr_number Loading A Program
38,38,39,3,https://github.com/sethm/symon,### 4.4 Running,3,### @abstr_number . @abstr_number Running
39,39,40,3,https://github.com/sethm/symon,## 5.0 Revision History,4,## @abstr_number . @abstr_number Revision History
40,40,41,3,https://github.com/sethm/symon,## 6.0 Roadmap,4,## @abstr_number . @abstr_number Roadmap
41,41,42,3,https://github.com/sethm/symon,## 7.0 To Do,4,## @abstr_number . @abstr_number To Do
42,42,43,3,https://github.com/sethm/symon,## 8.0 Copyright and Acknowledgements,5,## @abstr_number . @abstr_number Copyright and Acknowledgements
43,43,44,3,https://github.com/sethm/symon,## 9.0 Licensing,5,## @abstr_number . @abstr_number Licensing
44,44,45,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,# Code Along: An Intro to Inheritance,1,# Code Along: An Intro to Inheritance
45,45,46,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## Objectives,12,## Objectives
46,46,47,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## Introduction: Why Inheritance?,12,## Introduction: Why Inheritance?
47,47,48,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## What is Inheritance?,1,## What is Inheritance?
48,48,49,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## Code Along: Basic Inheritance,3,## Code Along: Basic Inheritance
49,49,50,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,### Step 1: Defining the Super Class,3,### Step @abstr_number : Defining the Super Class
50,50,51,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,### Step 2: Defining the Subclass,3,### Step @abstr_number : Defining the Subclass
51,51,52,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,### Step 3: Overwriting Inherited Methods,3,### Step @abstr_number : Overwriting Inherited Methods
52,52,53,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,#### Method Look-Up in Ruby,3,#### Method Look-Up in Ruby
53,53,54,5,https://github.com/microlv/prerender,# Prerender Service [![Stories in Ready](https://badge.waffle.io/prerender/prerender.png?label=ready&title=Ready)](https://waffle.io/prerender/prerender),123,# Prerender Service @abstr_hyperlink
54,54,55,5,https://github.com/microlv/prerender,### <a id='middleware'></a>,-,###
55,55,56,5,https://github.com/microlv/prerender,## Middleware,6,## Middleware
56,56,57,5,https://github.com/microlv/prerender,#### Official middleware,3,#### Official middleware
57,57,58,5,https://github.com/microlv/prerender,###### Javascript,6,###### Javascript
58,58,59,5,https://github.com/microlv/prerender,###### Ruby,6,###### Ruby
59,59,60,5,https://github.com/microlv/prerender,###### Apache,6,###### Apache
60,60,61,5,https://github.com/microlv/prerender,###### Nginx,6,###### Nginx
61,61,62,5,https://github.com/microlv/prerender,#### Community middleware,6,#### Community middleware
62,62,63,5,https://github.com/microlv/prerender,###### PHP,6,###### PHP
63,63,64,5,https://github.com/microlv/prerender,###### Java,6,###### Java
64,64,65,5,https://github.com/microlv/prerender,###### Grails,6,###### Grails
65,65,66,5,https://github.com/microlv/prerender,###### Nginx,6,###### Nginx
66,66,67,5,https://github.com/microlv/prerender,###### Apache,6,###### Apache
67,67,68,5,https://github.com/microlv/prerender,## How it works,13,## How it works
68,68,69,5,https://github.com/microlv/prerender,## Running locally,3,## Running locally
69,69,70,5,https://github.com/microlv/prerender,## Deploying your own on heroku,3,## Deploying your own on heroku
70,70,71,5,https://github.com/microlv/prerender,#Customization,3,# Customization
71,71,72,5,https://github.com/microlv/prerender,## Plugins,3,## Plugins
72,72,73,5,https://github.com/microlv/prerender,####`init()`,3,#### `init()`
73,73,74,5,https://github.com/microlv/prerender,"####`beforePhantomRequest(req, res, next)`",3,"#### `beforePhantomRequest(req, res, next)`"
74,74,75,5,https://github.com/microlv/prerender,"####`onPhantomPageCreate(phantom, req, res, next)`",3,"#### `onPhantomPageCreate(phantom, req, res, next)`"
75,75,76,5,https://github.com/microlv/prerender,"####`afterPhantomRequest(req, res, next)`",3,"#### `afterPhantomRequest(req, res, next)`"
76,76,77,5,https://github.com/microlv/prerender,"####`beforeSend(req, res, next)`",3,"#### `beforeSend(req, res, next)`"
77,77,78,5,https://github.com/microlv/prerender,## Available plugins,3,## Available plugins
78,78,79,5,https://github.com/microlv/prerender,### basicAuth,3,### basicAuth
79,79,80,5,https://github.com/microlv/prerender,### removeScriptTags,3,### removeScriptTags
80,80,81,5,https://github.com/microlv/prerender,### httpHeaders,3,### httpHeaders
81,81,82,5,https://github.com/microlv/prerender,### whitelist,3,### whitelist
82,82,83,5,https://github.com/microlv/prerender,### blacklist,3,### blacklist
83,83,84,5,https://github.com/microlv/prerender,### <a id='s3-html-cache'></a>,3,###
84,84,85,5,https://github.com/microlv/prerender,### s3HtmlCache,3,### s @abstr_number HtmlCache
85,85,86,5,https://github.com/microlv/prerender,#### Region support,3,#### Region support
86,86,87,5,https://github.com/microlv/prerender,### inMemoryHtmlCache,3,### inMemoryHtmlCache
87,87,88,5,https://github.com/microlv/prerender,### logger,3,### logger
88,88,89,5,https://github.com/microlv/prerender,### mongodbCache,3,### mongodbCache
89,89,90,5,https://github.com/microlv/prerender,### memjsCache,3,### memjsCache
90,90,91,5,https://github.com/microlv/prerender,## License,5,## License
91,91,92,6,https://github.com/565407548/vlayout,# vlayout,12,# vlayout
92,92,93,6,https://github.com/565407548/vlayout,## Design,12,## Design
93,93,94,6,https://github.com/565407548/vlayout,## Main Feature,1,## Main Feature
94,94,95,6,https://github.com/565407548/vlayout,## Usage,3,## Usage
95,95,96,6,https://github.com/565407548/vlayout,### Import Library,3,### Import Library
96,96,97,6,https://github.com/565407548/vlayout,### Initialize LayoutManager,3,### Initialize LayoutManager
97,97,98,6,https://github.com/565407548/vlayout,### Initialize recycled pool's size,3,### Initialize recycled pool's size
98,98,99,6,https://github.com/565407548/vlayout,### Set Adapters,3,### Set Adapters
99,99,100,6,https://github.com/565407548/vlayout,# Demo,3,# Demo
100,100,101,6,https://github.com/565407548/vlayout,# Layout Attributes,6,# Layout Attributes
101,101,102,6,https://github.com/565407548/vlayout,# Contributing,7,# Contributing
102,102,103,6,https://github.com/565407548/vlayout,# LICENSE,5,# LICENSE
103,103,104,7,https://github.com/shrah/corert,# .NET Core Runtime (CoreRT),1,# .NET Core Runtime (CoreRT)
104,104,105,7,https://github.com/shrah/corert,"## How to Engage, Contribute and Provide Feedback",67,"## How to Engage, Contribute and Provide Feedback"
105,105,106,7,https://github.com/shrah/corert,### Reporting security issues and security bugs,67,### Reporting security issues and security bugs
106,106,107,7,https://github.com/shrah/corert,## License,5,## License
107,107,108,7,https://github.com/shrah/corert,## .NET Foundation,156,## .NET Foundation
108,108,109,7,https://github.com/shrah/corert,## Related Projects,6,## Related Projects
109,109,110,8,https://github.com/udzura/domoraen,# domoraen,-,# domoraen
110,110,111,8,https://github.com/udzura/domoraen,## 機能,-,## 機能
111,111,112,8,https://github.com/udzura/domoraen,### 道具提案機能,-,### 道具提案機能
112,112,113,8,https://github.com/udzura/domoraen,### 遅延エコー機能,-,### 遅延エコー機能
113,113,114,8,https://github.com/udzura/domoraen,## TODO,-,## TODO
114,114,115,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,# Hello World,1,# Hello World
115,115,116,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,## Overview,1,## Overview
116,116,117,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,## Objectives,1,## Objectives
117,117,118,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,## Instructions,3,## Instructions
118,118,119,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Creating a File,3,### Creating a File
119,119,120,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Writing Code,3,### Writing Code
120,120,121,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Executing Your File,3,### Executing Your File
121,121,122,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Running Learn,3,### Running Learn
122,122,123,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Submitting Your Lab,3,### Submitting Your Lab
123,123,124,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Hello World History,8,### Hello World History
124,124,125,10,https://github.com/gevans/chef-xdebug,# Description,1,# Description
125,125,126,10,https://github.com/gevans/chef-xdebug,# Requirements,3,# Requirements
126,126,127,10,https://github.com/gevans/chef-xdebug,## Cookbooks:,3,## Cookbooks:
127,127,128,10,https://github.com/gevans/chef-xdebug,# Attributes,3,# Attributes
128,128,129,10,https://github.com/gevans/chef-xdebug,# Usage,3,# Usage
129,129,130,10,https://github.com/gevans/chef-xdebug,# TODO,4,# TODO
130,130,131,10,https://github.com/gevans/chef-xdebug,# ISSUES,3,# ISSUES
131,131,132,10,https://github.com/gevans/chef-xdebug,## Development,3,## Development
132,132,133,10,https://github.com/gevans/chef-xdebug,# LICENSE & AUTHOR:,5,# LICENSE & AUTHOR:
133,133,134,11,https://github.com/h3biomed/lastpass-cli,# LastPass CLI,1,# LastPass CLI
134,134,135,11,https://github.com/h3biomed/lastpass-cli,#### (c) 2014 LastPass.,5,#### (c) @abstr_number LastPass.
135,135,136,11,https://github.com/h3biomed/lastpass-cli,## Operating System Support,3,## Operating System Support
136,136,137,11,https://github.com/h3biomed/lastpass-cli,## Dependencies,3,## Dependencies
137,137,138,11,https://github.com/h3biomed/lastpass-cli,### Installing on Linux,3,### Installing on Linux
138,138,139,11,https://github.com/h3biomed/lastpass-cli,#### Redhat/Centos,3,#### Redhat/Centos
139,139,140,11,https://github.com/h3biomed/lastpass-cli,##### Debian/Ubuntu,3,##### Debian/Ubuntu
140,140,141,11,https://github.com/h3biomed/lastpass-cli,#### Gentoo,3,#### Gentoo
141,141,142,11,https://github.com/h3biomed/lastpass-cli,##### Other Linux Distros,3,##### Other Linux Distros
142,142,143,11,https://github.com/h3biomed/lastpass-cli,### Installing on OS X,3,### Installing on OS X
143,143,144,11,https://github.com/h3biomed/lastpass-cli,### Installing on FreeBSD,3,### Installing on FreeBSD
144,144,145,11,https://github.com/h3biomed/lastpass-cli,## Building,3,## Building
145,145,146,11,https://github.com/h3biomed/lastpass-cli,## Installing,3,## Installing
146,146,147,11,https://github.com/h3biomed/lastpass-cli,## Running,3,## Running
147,147,148,11,https://github.com/h3biomed/lastpass-cli,## Documentation,36,## Documentation
148,148,149,12,https://github.com/guoyalun/weapp-ide-crack,##相关资源,-,## 相关资源
149,149,150,12,https://github.com/guoyalun/weapp-ide-crack,##破解步骤,-,## 破解步骤
150,150,151,12,https://github.com/guoyalun/weapp-ide-crack,##扫码无法登录问题 please bind your wechat account to the appid first,-,## 扫码无法登录问题 please bind your wechat account to the appid first
151,151,152,12,https://github.com/guoyalun/weapp-ide-crack,##使用教程,-,## 使用教程
152,152,153,12,https://github.com/guoyalun/weapp-ide-crack,##常见问题,-,## 常见问题
153,153,154,12,https://github.com/guoyalun/weapp-ide-crack,##工具截图,-,## 工具截图
154,154,155,12,https://github.com/guoyalun/weapp-ide-crack,##相关链接,-,## 相关链接
155,155,156,13,https://github.com/anirut/TuentiTV,# Tuenti for Android TV [![Android Arsenal](https://img.shields.io/badge/Android%20Arsenal-TuentiTV-brightgreen.svg?style=flat)](https://android-arsenal.com/details/3/1465),1,# Tuenti for Android TV @abstr_hyperlink
156,156,157,13,https://github.com/anirut/TuentiTV,## Implementation description,6,## Implementation description
157,157,158,13,https://github.com/anirut/TuentiTV,## Video Demo,3,## Video Demo
158,158,159,13,https://github.com/anirut/TuentiTV,## Screenshots,3,## Screenshots
159,159,160,13,https://github.com/anirut/TuentiTV,## Libraries used on the sample project,6,## Libraries used on the sample project
160,160,161,13,https://github.com/anirut/TuentiTV,## Developed By,5,## Developed By
161,161,162,13,https://github.com/anirut/TuentiTV,## License,5,## License
162,162,163,14,https://github.com/sineed/rails,# Welcome to Rails,1,# Welcome to Rails
163,163,164,14,https://github.com/sineed/rails,## Getting Started,36,## Getting Started
164,164,165,14,https://github.com/sineed/rails,## Contributing,7,## Contributing
165,165,166,14,https://github.com/sineed/rails,## Code Status,4,## Code Status
166,166,167,14,https://github.com/sineed/rails,## License,5,## License
167,167,168,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,# App Service Mobile completed quickstart for Xamarin.Android apps,1,# App Service Mobile completed quickstart for Xamarin.Android apps
168,168,169,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,##Overview,1,## Overview
169,169,170,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,## Configure the Mobile App backend,3,## Configure the Mobile App backend
170,170,171,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,## Configure the Xamarin.Android app,3,## Configure the Xamarin.Android app
171,171,172,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,### Set the Mobile App backend URL,3,### Set the Mobile App backend URL
172,172,173,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,### Configure authentication,3,### Configure authentication
173,173,174,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,### Configure push notifications,3,### Configure push notifications
174,174,175,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,## Running the app,3,## Running the app
175,175,176,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,## Implementation notes,6,## Implementation notes
176,176,177,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,###Template push notification registration,36,### Template push notification registration
177,177,178,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,###Client-added push notification tags,36,### Client-added push notification tags
178,178,179,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,###Authenticate first,3,### Authenticate first
179,179,180,16,https://github.com/samuelbohler/apache2-chef-cookbook,# apache2 Cookbook,12,# apache @abstr_number Cookbook
180,180,181,16,https://github.com/samuelbohler/apache2-chef-cookbook,# Requirements,3,# Requirements
181,181,182,16,https://github.com/samuelbohler/apache2-chef-cookbook,## Ohai and Chef:,3,## Ohai and Chef:
182,182,183,16,https://github.com/samuelbohler/apache2-chef-cookbook,## Cookbooks:,36,## Cookbooks:
183,183,184,16,https://github.com/samuelbohler/apache2-chef-cookbook,## Platforms:,3,## Platforms:
184,184,185,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Notes for RHEL Family:,3,### Notes for RHEL Family:
185,185,186,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Notes for FreeBSD:,34,### Notes for FreeBSD:
186,186,187,16,https://github.com/samuelbohler/apache2-chef-cookbook,# Tests,7,# Tests
187,187,188,16,https://github.com/samuelbohler/apache2-chef-cookbook,# Attributes,3,# Attributes
188,188,189,16,https://github.com/samuelbohler/apache2-chef-cookbook,## Platform specific,6,## Platform specific
189,189,190,16,https://github.com/samuelbohler/apache2-chef-cookbook,## General settings,36,## General settings
190,190,191,16,https://github.com/samuelbohler/apache2-chef-cookbook,## Prefork attributes,36,## Prefork attributes
191,191,192,16,https://github.com/samuelbohler/apache2-chef-cookbook,## Worker attributes,36,## Worker attributes
192,192,193,16,https://github.com/samuelbohler/apache2-chef-cookbook,## Event attributes,36,## Event attributes
193,193,194,16,https://github.com/samuelbohler/apache2-chef-cookbook,## mod\_auth\_openid attributes,36,## mod_auth_openid attributes
194,194,195,16,https://github.com/samuelbohler/apache2-chef-cookbook,## mod\_ssl attributes,36,## mod_ssl attributes
195,195,196,16,https://github.com/samuelbohler/apache2-chef-cookbook,# Recipes,36,# Recipes
196,196,197,16,https://github.com/samuelbohler/apache2-chef-cookbook,## default,3,## default
197,197,198,16,https://github.com/samuelbohler/apache2-chef-cookbook,## logrotate,3,## logrotate
198,198,199,16,https://github.com/samuelbohler/apache2-chef-cookbook,## mod\_auth\_cas,36,## mod_auth_cas
199,199,200,16,https://github.com/samuelbohler/apache2-chef-cookbook,## mod\_auth\_openid,36,## mod_auth_openid
200,200,201,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Changes from COOK-915:,3,### Changes from COOK- @abstr_number :
201,201,202,16,https://github.com/samuelbohler/apache2-chef-cookbook,## mod\_fastcgi,3,## mod_fastcgi
202,202,203,16,https://github.com/samuelbohler/apache2-chef-cookbook,## mod\_fcgid,3,## mod_fcgid
203,203,204,16,https://github.com/samuelbohler/apache2-chef-cookbook,## mod\_php5,3,## mod_php @abstr_number
204,204,205,16,https://github.com/samuelbohler/apache2-chef-cookbook,## mod\_ssl,3,## mod_ssl
205,205,206,16,https://github.com/samuelbohler/apache2-chef-cookbook,## god\_monitor,36,## god_monitor
206,206,207,16,https://github.com/samuelbohler/apache2-chef-cookbook,# Definitions,6,# Definitions
207,207,208,16,https://github.com/samuelbohler/apache2-chef-cookbook,## apache\_config,3,## apache_config
208,208,209,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Parameters:,3,### Parameters:
209,209,210,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Examples:,6,### Examples:
210,210,211,16,https://github.com/samuelbohler/apache2-chef-cookbook,## apache\_conf,3,## apache_conf
211,211,212,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Parameters:,3,### Parameters:
212,212,213,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Examples:,3,### Examples:
213,213,214,16,https://github.com/samuelbohler/apache2-chef-cookbook,## apache\_mod,3,## apache_mod
214,214,215,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Parameters:,3,### Parameters:
215,215,216,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Examples:,3,### Examples:
216,216,217,16,https://github.com/samuelbohler/apache2-chef-cookbook,## apache\_module,3,## apache_module
217,217,218,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Parameters:,3,### Parameters:
218,218,219,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Examples:,6,### Examples:
219,219,220,16,https://github.com/samuelbohler/apache2-chef-cookbook,## apache\_site,36,## apache_site
220,220,221,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Parameters:,3,### Parameters:
221,221,222,16,https://github.com/samuelbohler/apache2-chef-cookbook,## web\_app,3,## web_app
222,222,223,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Parameters:,3,### Parameters:
223,223,224,16,https://github.com/samuelbohler/apache2-chef-cookbook,### Examples:,36,### Examples:
224,224,225,16,https://github.com/samuelbohler/apache2-chef-cookbook,# Usage,3,# Usage
225,225,226,16,https://github.com/samuelbohler/apache2-chef-cookbook,# License and Authors,5,# License and Authors
226,226,227,17,https://github.com/venturion/vue-resource,# vue-resource [![Version](https://img.shields.io/npm/v/vue-resource.svg)](https://www.npmjs.com/package/vue-resource) [![License](https://img.shields.io/npm/l/vue-resource.svg)](https://www.npmjs.com/package/vue-resource) [![Downloads](https://img.shields.io/npm/dt/vue-resource.svg)](https://www.npmjs.com/package/vue-resource),1,# vue-resource @abstr_hyperlink @abstr_hyperlink @abstr_hyperlink
227,227,228,17,https://github.com/venturion/vue-resource,## Features,1,## Features
228,228,229,17,https://github.com/venturion/vue-resource,## Installation,3,## Installation
229,229,230,17,https://github.com/venturion/vue-resource,### CDN,3,### CDN
230,230,231,17,https://github.com/venturion/vue-resource,## Example,3,## Example
231,231,232,17,https://github.com/venturion/vue-resource,## Documentation,6,## Documentation
232,232,233,17,https://github.com/venturion/vue-resource,## Changelog,4,## Changelog
233,233,234,17,https://github.com/venturion/vue-resource,## Contribution,7,## Contribution
234,234,235,17,https://github.com/venturion/vue-resource,## License,5,## License
235,235,236,18,https://github.com/Archerpe/HanLP,# HanLP: Han Language Processing,-,# HanLP: Han Language Processing
236,236,237,18,https://github.com/Archerpe/HanLP,##,-,# #
237,237,238,18,https://github.com/Archerpe/HanLP,##,-,# #
238,238,239,18,https://github.com/Archerpe/HanLP,## 项目主页,-,## 项目主页
239,239,240,18,https://github.com/Archerpe/HanLP,##,-,# #
240,240,241,18,https://github.com/Archerpe/HanLP,## 下载与配置,-,## 下载与配置
241,241,242,18,https://github.com/Archerpe/HanLP,###方式一、Maven,-,### 方式一、Maven
242,242,243,18,https://github.com/Archerpe/HanLP,###方式二、下载jar、data、hanlp.properties,-,### 方式二、下载jar、data、hanlp.properties
243,243,244,18,https://github.com/Archerpe/HanLP,#### 1、下载jar,-,#### @abstr_number 、下载jar
244,244,245,18,https://github.com/Archerpe/HanLP,#### 2、下载data,-,#### @abstr_number 、下载data
245,245,246,18,https://github.com/Archerpe/HanLP,#### 3、配置文件,-,#### @abstr_number 、配置文件
246,246,247,18,https://github.com/Archerpe/HanLP,## 调用方法,-,## 调用方法
247,247,248,18,https://github.com/Archerpe/HanLP,### 1. 第一个Demo,-,### @abstr_number . 第一个Demo
248,248,249,18,https://github.com/Archerpe/HanLP,### 2. 标准分词,-,### @abstr_number . 标准分词
249,249,250,18,https://github.com/Archerpe/HanLP,### 3. NLP分词,-,### @abstr_number . NLP分词
250,250,251,18,https://github.com/Archerpe/HanLP,### 4. 索引分词,-,### @abstr_number . 索引分词
251,251,252,18,https://github.com/Archerpe/HanLP,### 5. N-最短路径分词,-,### @abstr_number . N-最短路径分词
252,252,253,18,https://github.com/Archerpe/HanLP,### 6. CRF分词,-,### @abstr_number . CRF分词
253,253,254,18,https://github.com/Archerpe/HanLP,### 7. 极速词典分词,-,### @abstr_number . 极速词典分词
254,254,255,18,https://github.com/Archerpe/HanLP,### 8. 用户自定义词典,-,### @abstr_number . 用户自定义词典
255,255,256,18,https://github.com/Archerpe/HanLP,### 9. 中国人名识别,-,### @abstr_number . 中国人名识别
256,256,257,18,https://github.com/Archerpe/HanLP,### 10. 音译人名识别,-,### @abstr_number . 音译人名识别
257,257,258,18,https://github.com/Archerpe/HanLP,### 11. 日本人名识别,-,### @abstr_number . 日本人名识别
258,258,259,18,https://github.com/Archerpe/HanLP,### 12. 地名识别,-,### @abstr_number . 地名识别
259,259,260,18,https://github.com/Archerpe/HanLP,### 13. 机构名识别,-,### @abstr_number . 机构名识别
260,260,261,18,https://github.com/Archerpe/HanLP,### 14. 关键词提取,-,### @abstr_number . 关键词提取
261,261,262,18,https://github.com/Archerpe/HanLP,### 15. 自动摘要,-,### @abstr_number . 自动摘要
262,262,263,18,https://github.com/Archerpe/HanLP,### 16. 短语提取,-,### @abstr_number . 短语提取
263,263,264,18,https://github.com/Archerpe/HanLP,### 17. 拼音转换,-,### @abstr_number . 拼音转换
264,264,265,18,https://github.com/Archerpe/HanLP,### 18. 简繁转换,-,### @abstr_number . 简繁转换
265,265,266,18,https://github.com/Archerpe/HanLP,### 19. 文本推荐,-,### @abstr_number . 文本推荐
266,266,267,18,https://github.com/Archerpe/HanLP,### 20. 语义距离,-,### @abstr_number . 语义距离
267,267,268,18,https://github.com/Archerpe/HanLP,### 21. 依存句法分析,-,### @abstr_number . 依存句法分析
268,268,269,18,https://github.com/Archerpe/HanLP,## 词典说明,-,## 词典说明
269,269,270,18,https://github.com/Archerpe/HanLP,### 基本格式,-,### 基本格式
270,270,271,18,https://github.com/Archerpe/HanLP,### 数据结构,-,### 数据结构
271,271,272,18,https://github.com/Archerpe/HanLP,### 储存形式,-,### 储存形式
272,272,273,18,https://github.com/Archerpe/HanLP,### 修改方法,-,### 修改方法
273,273,274,18,https://github.com/Archerpe/HanLP,##,-,# #
274,274,275,18,https://github.com/Archerpe/HanLP,## 版权,-,## 版权
275,275,276,18,https://github.com/Archerpe/HanLP,### 上海林原信息科技有限公司,-,### 上海林原信息科技有限公司
276,276,277,18,https://github.com/Archerpe/HanLP,### 鸣谢,-,### 鸣谢
277,277,278,19,https://github.com/vocotnhan/quickdic-dictionary.actionbarsherlock,# ActionBarSherlock,126,# ActionBarSherlock
278,278,279,19,https://github.com/vocotnhan/quickdic-dictionary.actionbarsherlock,# Developed By,5,# Developed By
